xrange,canard,canard_plus_axial
0.001,0.994,0.999
0.002,1.0,1.0
0.003,1.0,1.0
0.004,1.0,1.0
0.005,1.0,1.0
0.006,1.0,1.0
0.007,1.0,1.0
0.008,1.0,1.0
0.009,1.0,1.0
0.01,1.0,1.0
0.011,1.0,1.0
0.012,1.0,1.0
0.013,1.0,1.0
0.014,1.0,1.0
0.015,1.0,1.0
0.016,1.0,1.0
0.017,1.0,1.0
0.018,1.0,1.0
0.019,1.0,1.0
0.02,1.0,1.0
0.021,1.0,1.0
0.022,1.0,1.0
0.023,1.0,1.0
0.024,1.0,1.0
0.025,1.0,1.0
0.026,1.0,1.0
0.027,1.0,1.0
0.028,1.0,1.0
0.029,1.0,1.0
0.03,1.0,1.0
0.031,1.0,1.0
0.032,1.0,1.0
0.033,1.0,1.0
0.034,1.0,1.0
0.035,1.0,1.0
0.036,1.0,1.0
0.037,1.0,1.0
0.038,1.0,1.0
0.039,1.0,1.0
0.04,1.0,1.0
0.041,1.0,1.0
0.042,1.0,1.0
0.043,1.0,1.0
0.044,1.0,1.0
0.045,1.0,1.0
0.046,1.0,1.0
0.047,1.0,1.0
0.048,1.0,1.0
0.049,1.0,1.0
0.05,0.999,0.999
0.051,0.997,0.997
0.052,0.991,0.991
0.053,0.98,0.98
0.054,0.953,0.953
0.055,0.918,0.918
0.056,0.86,0.86
0.057,0.798,0.798
0.058,0.724,0.724
0.059,0.628,0.628
0.06,0.53,0.53
0.061,0.435,0.435
0.062,0.359,0.359
0.063,0.263,0.263
0.064,0.206,0.206
0.065,0.171,0.171
0.066,0.14,0.14
0.067,0.103,0.103
0.068,0.075,0.075
0.069,0.051,0.051
0.07,0.028,0.028
0.071,0.025,0.025
0.072,0.017,0.017
0.073,0.013,0.013
0.074,0.006,0.006
0.075,0.006,0.006
0.076,0.005,0.005
0.077,0.003,0.003
0.078,0.001,0.001
0.079,0.0,0.0
0.08,0.001,0.001
0.081,0.001,0.001
0.082,0.0,0.0
0.083,0.0,0.0
0.084,0.0,0.0
0.085,0.0,0.0
0.086,0.0,0.0
0.087,0.0,0.0
0.088,0.0,0.0
0.089,0.0,0.0
0.09,0.0,0.0
0.091,0.0,0.0
0.092,0.0,0.0
0.093,0.0,0.0
0.094,0.0,0.0
0.095,0.0,0.0
0.096,0.0,0.0
0.097,0.0,0.0
0.098,0.0,0.0
0.099,0.0,0.0
0.1,0.0,0.0
0.101,0.0,0.0
0.102,0.0,0.0
0.103,0.0,0.0
0.104,0.0,0.0
0.105,0.0,0.0
0.106,0.0,0.0
0.107,0.0,0.0
0.108,0.0,0.0
0.109,0.0,0.0
0.11,0.0,0.0
0.111,0.0,0.0
0.112,0.0,0.0
0.113,0.0,0.0
0.114,0.0,0.0
0.115,0.0,0.0
0.116,0.0,0.0
0.117,0.0,0.0
0.118,0.0,0.0
0.119,0.0,0.0
0.12,0.0,0.0
0.121,0.0,0.0
0.122,0.0,0.0
0.123,0.0,0.0
0.124,0.0,0.0
0.125,0.0,0.0
0.126,0.0,0.0
0.127,0.0,0.0
0.128,0.0,0.0
0.129,0.0,0.0
0.13,0.0,0.0
0.131,0.0,0.0
0.132,0.0,0.0
0.133,0.0,0.0
0.134,0.0,0.0
0.135,0.0,0.0
0.136,0.0,0.0
0.137,0.0,0.0
0.138,0.0,0.0
0.139,0.0,0.0
0.14,0.0,0.0
0.141,0.0,0.0
0.142,0.0,0.0
0.143,0.0,0.0
0.144,0.0,0.0
0.145,0.0,0.0
0.146,0.0,0.0
0.147,0.0,0.0
0.148,0.0,0.0
0.149,0.0,0.0
0.15,0.0,0.0
